from,to,cost
0,1,270
0,4,130
0,5,240
0,6,120
0,9,200
1,2,160
1,3,100
1,5,320
1,6,90
2,6,110
2,10,50
3,6,110
3,10,90
4,5,150
4,7,50
4,8,100
4,9,160
5,8,50
7,8,70
